#Id|nom|age|taille|pied|nationalite|position|club|ligue|fin_contrat|valeur_actuelle|valeur_max|montant_transfert|CDM|LDC|nb_selections|nb_buts
305.html|noah-okafor|22|1.85|droit|Suisse|Avant-centre|Red Bull Salzbourg|bundesliga| 2024|25|25|11.20 |0|0|12|2
190.html|karim-benzema|35|1.85|droit|France|Avant-centre|Real Madrid|laliga| 2023|35|60|35.00 |0|5|97|37
485.html|armel-bella-kotchap|21|1.90|droit|Allemagne|Défenseur central|FC Southampton|premier-league| 2026|18|18|11.00 |0|0|2|0
27.html|mason-mount|24|1.81|droit|Angleterre|Milieu offensif|Chelsea FC|premier-league| 2024|75|75|0.00|0|1|36|5
256.html|noussair-mazraoui|25|1.83|droit|Maroc|Arrière droit|FC Bayern München|bundesliga| 2026|28|28|0.00|0|0|20|2
313.html|sofyan-amrabat|26|1.85|droit|Maroc|Milieu défensif|ACF Fiorentina|serie-a| 2024|25|25|29.65 |0|0|46|0
70.html|thibaut-courtois|30|2.00|gauche|Belgique|Gardien de but|Real Madrid|laliga| 2026|60|75|45.15 |0|1|100|0
128.html|ismael-bennacer|25|1.75|gauche|Algérie|Milieu défensif|AC Milan|serie-a| 2027|40|40|18.50 |0|0|40|2
201.html|marcus-thuram|25|1.92|droit|France|Avant-centre|Borussia Mönchengladbach|bundesliga| 2023|32|40|9.60 |0|0|9|0
344.html|ciro-immobile|33|1.85|droit|Italie|Avant-centre|Lazio Rome|serie-a| 2026|23|50|63.13 |0|0|55|15
200.html|ollie-watkins|27|1.80|droit|Angleterre|Avant-centre|Aston Villa|premier-league| 2025|32|35|41.22 |0|0|7|2
345.html|evanilson|23|1.83|ambidextre|Brésil|Avant-centre|FC Porto|liga-portugal| 2027|22|22|8.80 |0|0|2|0
71.html|enzo-fernandez|22|1.78|droit|Argentine|Milieu central|Chelsea FC|premier-league| 2031|55|55|165.25 |1|0|10|1
129.html|dani-olmo|24|1.79|droit|Espagne|Milieu offensif|RasenBallsport Leipzig|bundesliga| 2024|40|50|29.00 |0|0|29|5
257.html|denzel-dumfries|26|1.88|droit|Pays-Bas|Milieu droit|Inter Milan|serie-a| 2025|28|28|20.50 |0|0|42|6
312.html|marco-asensio|27|1.82|gauche|Espagne|Ailier droit|Real Madrid|laliga| 2023|25|90|3.90 |0|3|35|2
